                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.55541,                0.44891,                0.86012,                0.88575,                 0.8862,                 0.9258,                0.82762,                0.51495,                0.45306,                0.83853,               0.006832,               0.006832,               0.006832
                     99,                0.55275,                0.44198,                0.85909,                0.89322,                0.88323,                0.93181,                0.83853,                0.51592,                0.45209,                0.83592,               0.006799,               0.006799,               0.006799
                    100,                0.55635,                0.44541,                0.86063,                0.89768,                0.89855,                0.92703,                0.83129,                0.50792,                0.43599,                 0.8329,               0.006766,               0.006766,               0.006766
                    101,                0.55055,                0.44253,                0.85788,                0.92101,                0.88372,                0.93514,                0.83499,                0.51667,                0.44131,                0.83713,               0.006733,               0.006733,               0.006733
                    102,                0.55205,                0.43198,                0.85651,                0.89568,                0.88214,                0.93146,                 0.8319,                0.51852,                0.45158,                0.83792,                 0.0067,                 0.0067,                 0.0067
                    103,                0.55003,                0.43559,                0.85791,                0.90467,                0.88665,                0.92985,                0.83569,                0.51065,                0.44201,                0.83452,               0.006667,               0.006667,               0.006667
                    104,                0.54825,                0.43497,                0.85973,                0.90397,                0.88811,                0.94054,                0.83911,                0.51142,                0.44368,                0.83498,               0.006634,               0.006634,               0.006634
                    105,                0.54217,                0.42774,                0.85651,                0.90061,                0.89217,                0.93416,                0.83427,                0.51151,                0.44329,                0.83648,               0.006601,               0.006601,               0.006601
                    106,                0.54635,                0.43406,                0.85811,                0.91098,                0.87523,                0.93317,                0.83393,                0.51449,                 0.4434,                0.83613,               0.006568,               0.006568,               0.006568
                    107,                0.54448,                0.42797,                0.85524,                0.89423,                 0.8897,                0.93259,                0.83661,                 0.5171,                 0.4479,                0.83619,               0.006535,               0.006535,               0.006535
                    108,                0.54931,                0.43156,                0.85744,                0.89995,                0.89037,                0.93221,                0.83525,                0.51152,                0.44278,                0.83562,               0.006502,               0.006502,               0.006502
                    109,                 0.5431,                0.42737,                0.85483,                0.89807,                0.89966,                0.93572,                  0.838,                0.51282,                0.43811,                0.83483,               0.006469,               0.006469,               0.006469
                    110,                0.53801,                0.42068,                0.85354,                 0.9034,                0.89274,                0.93761,                0.84345,                0.51122,                 0.4391,                  0.834,               0.006436,               0.006436,               0.006436
                    111,                0.54162,                0.42708,                 0.8557,                0.90953,                0.88366,                0.93531,                0.83504,                0.50869,                0.44039,                0.83522,               0.006403,               0.006403,               0.006403
                    112,                0.54188,                0.42551,                0.85384,                0.90926,                0.89857,                0.93742,                0.83633,                0.51131,                0.43911,                0.83605,                0.00637,                0.00637,                0.00637
                    113,                0.53436,                0.42139,                0.85277,                 0.9078,                0.88729,                0.93769,                0.84017,                 0.5088,                0.43992,                0.83364,               0.006337,               0.006337,               0.006337
                    114,                0.53406,                0.42258,                0.85469,                0.90939,                0.88769,                0.93065,                0.83271,                0.50995,                 0.4392,                0.83472,               0.006304,               0.006304,               0.006304
                    115,                0.54054,                0.41586,                0.85486,                0.89473,                 0.8745,                0.92844,                0.83272,                0.50976,                0.44032,                0.83642,               0.006271,               0.006271,               0.006271
                    116,                0.53366,                0.40841,                0.85185,                0.89449,                0.90092,                0.92512,                0.82618,                0.51319,                0.44325,                0.83576,               0.006238,               0.006238,               0.006238
                    117,                0.53058,                0.40807,                0.85155,                0.91238,                0.87434,                0.93133,                0.83548,                0.50781,                0.44196,                0.83812,               0.006205,               0.006205,               0.006205
                    118,                 0.5312,                0.40584,                0.84977,                0.90952,                0.88468,                 0.9358,                0.84053,                0.50558,                0.43217,                0.83409,               0.006172,               0.006172,               0.006172
                    119,                0.52845,                0.40686,                0.85218,                0.90829,                0.88137,                0.93673,                0.83844,                0.50917,                0.43438,                0.83491,               0.006139,               0.006139,               0.006139
                    120,                 0.5283,                0.40365,                0.84856,                0.89811,                0.89914,                0.93665,                 0.8422,                0.51104,                0.42975,                0.83435,               0.006106,               0.006106,               0.006106
                    121,                0.52994,                0.40315,                0.84791,                0.89681,                0.89663,                0.92615,                0.82906,                0.50869,                0.43303,                0.83645,               0.006073,               0.006073,               0.006073
                    122,                0.52752,                0.40165,                0.85009,                  0.904,                0.89477,                0.93132,                0.83335,                0.50476,                0.42967,                0.83396,                0.00604,                0.00604,                0.00604
                    123,                0.52443,                0.39605,                0.85023,                0.89901,                0.89189,                0.93039,                0.83529,                0.50928,                 0.4352,                0.83378,               0.006007,               0.006007,               0.006007
