                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.7487,                0.70384,                0.93353,                0.83892,                0.83456,                0.88777,                0.76243,                 0.6212,                0.58715,                0.88632,               0.007888,               0.007888,               0.007888
                     67,                0.74508,                0.69692,                0.93535,                0.85566,                 0.8374,                0.89267,                 0.7657,                0.60934,                0.58938,                0.88393,               0.007855,               0.007855,               0.007855
                     68,                0.73905,                0.69292,                0.93031,                0.84417,                 0.8524,                0.89369,                0.76571,                  0.611,                0.57952,                0.88333,               0.007822,               0.007822,               0.007822
                     69,                0.74001,                0.69046,                 0.9315,                0.83369,                0.84746,                0.88892,                0.76475,                0.61209,                0.57147,                0.88416,               0.007789,               0.007789,               0.007789
                     70,                0.73911,                0.68314,                0.93043,                0.87459,                0.82351,                0.89845,                0.76242,                0.62001,                0.57535,                 0.8855,               0.007756,               0.007756,               0.007756
                     71,                0.73304,                0.69024,                0.92647,                0.87367,                0.81716,                  0.886,                0.75124,                0.60345,                0.57565,                0.88168,               0.007723,               0.007723,               0.007723
                     72,                0.72932,                0.67833,                0.92754,                0.86029,                0.84235,                0.89847,                 0.7677,                 0.6245,                0.57567,                0.88909,                0.00769,                0.00769,                0.00769
                     73,                0.72908,                0.67567,                0.92701,                0.85277,                0.83263,                0.89657,                0.76779,                0.60394,                0.57353,                0.88339,               0.007657,               0.007657,               0.007657
                     74,                0.71931,                0.67128,                 0.9228,                0.85888,                0.83167,                0.89726,                0.77033,                0.60717,                0.56278,                0.88145,               0.007624,               0.007624,               0.007624
                     75,                 0.7203,                0.66733,                0.92337,                0.86127,                0.84568,                0.88848,                0.76844,                0.60859,                0.56632,                0.88166,               0.007591,               0.007591,               0.007591
                     76,                0.72352,                0.67399,                0.92472,                0.87023,                0.83894,                0.89471,                0.76617,                0.60803,                0.56849,                0.87982,               0.007558,               0.007558,               0.007558
                     77,                0.71525,                0.65957,                0.92206,                0.86942,                0.84421,                0.90127,                0.77416,                0.59807,                0.56043,                0.87809,               0.007525,               0.007525,               0.007525
                     78,                0.72436,                0.66446,                0.92404,                0.84559,                0.84091,                 0.8939,                0.77167,                0.60467,                0.57139,                0.87985,               0.007492,               0.007492,               0.007492
                     79,                0.72081,                0.67132,                0.92325,                0.83741,                0.85799,                 0.8935,                0.76521,                0.59587,                0.56645,                0.87557,               0.007459,               0.007459,               0.007459
                     80,                0.70962,                0.65694,                0.91903,                0.84998,                0.83471,                0.89556,                0.76837,                0.59487,                0.56621,                0.87431,               0.007426,               0.007426,               0.007426
                     81,                0.70743,                  0.653,                0.91746,                0.85938,                0.84938,                0.89914,                0.77873,                0.59171,                0.56748,                0.87328,               0.007393,               0.007393,               0.007393
                     82,                0.70717,                0.64972,                0.91888,                0.86769,                0.84811,                0.90311,                0.77005,                0.59509,                0.55927,                0.87809,                0.00736,                0.00736,                0.00736
                     83,                0.71502,                0.65143,                0.91871,                0.85094,                 0.8514,                0.89863,                0.77578,                0.59681,                0.55726,                0.87551,               0.007327,               0.007327,               0.007327
                     84,                0.71227,                0.65339,                0.91875,                0.87707,                0.84313,                0.90184,                0.77861,                0.58369,                0.55343,                0.87104,               0.007294,               0.007294,               0.007294
